"date","home_team","away_team","is_shootout","home_win_pen","away_win_pen","first_shooter_home","first_shooter_away"
1999-08-28,"NAMIBIA","ESWATINI",1,1,0,0,0
1999-11-26,"GABON","TOGO",1,0,1,0,0
2000-02-04,"ROMANIA","GEORGIA",1,1,0,0,0
2000-02-12,"SOUTH AFRICA","TUNISIA",1,1,0,1,0
2000-02-13,"NIGERIA","CAMEROON",1,0,1,1,0
2000-02-19,"UNITED STATES","COLOMBIA",1,0,1,1,0
2000-03-19,"SURINAME","SAINT LUCIA",1,1,0,0,0
2000-04-29,"BRITISH VIRGIN ISLANDS","SINT MAARTEN",1,1,0,0,0
2000-04-30,"BRITISH VIRGIN ISLANDS","ANTIGUA AND BARBUDA",1,0,1,0,0
2000-05-10,"MALDIVES","SRI LANKA",1,0,1,0,0
2000-05-11,"SENEGAL","MALI",1,1,0,0,0
2000-05-20,"MALAWI","ANGOLA",1,0,1,0,0
2000-05-21,"BARBADOS","CUBA",1,1,0,0,0
2000-06-04,"FRANCE","JAPAN",1,1,0,1,0
2000-06-07,"IRAN","EGYPT",1,0,1,0,0
2000-06-11,"LESOTHO","ZAMBIA",1,1,0,0,0
2000-06-29,"NETHERLANDS","ITALY",1,0,1,0,1
2000-07-14,"LIBYA","CHAD",1,1,0,0,0
2000-07-16,"MOZAMBIQUE","LESOTHO",1,0,1,0,0
2000-09-03,"TOGO","SIERRA LEONE",1,1,0,0,0
2000-10-04,"UNITED ARAB EMIRATES","SOUTH KOREA",1,1,0,0,0
2000-10-28,"KENYA","UGANDA",1,0,1,0,0
2000-12-02,"ETHIOPIA","RWANDA",1,1,0,0,0
2001-01-17,"CHINA PR","EGYPT",1,0,1,0,0
2001-01-27,"SOUTH KOREA","PARAGUAY",1,1,0,0,0
2001-02-11,"ESWATINI","ZAMBIA",1,1,0,0,0
2001-07-12,"YNYS MÔN","JERSEY",1,1,0,0,0
2001-07-13,"GUERNSEY","YNYS MÔN",1,1,0,0,0
2001-07-29,"URUGUAY","HONDURAS",1,0,1,1,0
2001-08-03,"CHINA PR","NORTH KOREA",1,0,1,0,0
2001-08-03,"KUWAIT","TRINIDAD AND TOBAGO",1,1,0,0,0
2001-08-05,"KUWAIT","NORTH KOREA",1,0,1,0,0
2001-08-18,"ZAMBIA","ANGOLA",1,0,1,0,0
2001-10-24,"KENYA","UGANDA",1,1,0,0,0
2001-10-24,"TANZANIA","DR CONGO",1,1,0,0,0
2001-12-18,"ETHIOPIA","BURUNDI",1,1,0,0,0
2002-01-06,"MARTINIQUE","HAITI",1,1,0,0,0
2002-01-26,"CANADA","MARTINIQUE",1,1,0,1,0
2002-01-27,"MEXICO","SOUTH KOREA",1,0,1,0,1
2002-01-30,"UNITED STATES","CANADA",1,1,0,1,0
2002-02-10,"SENEGAL","CAMEROON",1,0,1,0,1
2002-02-12,"CYPRUS","SWITZERLAND",1,1,0,0,0
2002-02-15,"CHINA PR","SLOVENIA",1,0,1,0,0
2002-02-16,"THAILAND","NORTH KOREA",1,0,1,0,0
2002-03-30,"BOTSWANA","SOUTH AFRICA",1,0,1,0,0
2002-05-17,"RUSSIA","BELARUS",1,0,1,0,0
2002-05-19,"RUSSIA","SERBIA",1,0,1,0,0
2002-06-16,"SPAIN","REPUBLIC OF IRELAND",1,1,0,0,1
2002-06-22,"SOUTH KOREA","SPAIN",1,1,0,1,0
2002-07-21,"SOUTH AFRICA","MADAGASCAR",1,1,0,0,0
2002-09-05,"IRAQ","IRAN",1,1,0,0,0
2002-09-07,"SYRIA","IRAN",1,0,1,0,0
2002-09-17,"IRAN","MOROCCO",1,1,0,0,0
2002-09-19,"IRAN","PARAGUAY",1,1,0,0,0
2002-10-23,"KENYA","SOUTH AFRICA",1,1,0,0,0
2002-10-26,"TANZANIA","SOUTH AFRICA",1,0,1,0,0
2002-10-26,"KENYA","UGANDA",1,1,0,0,0
2002-11-19,"SOUTH AFRICA","SENEGAL",1,0,1,0,0
2002-12-27,"NIGER","BURKINA FASO",1,0,1,0,0
2002-12-29,"NIGER","MALI",1,1,0,0,0
2003-01-20,"BANGLADESH","MALDIVES",1,1,0,0,0
2003-02-04,"URUGUAY","IRAN",1,1,0,0,1
2003-03-07,"BENIN","NIGER",1,1,0,0,0
2003-03-15,"GUADELOUPE","FRENCH GUIANA",1,1,0,0,0
2003-03-22,"MOZAMBIQUE","LESOTHO",1,1,0,0,0
2003-03-27,"TUNISIA","GHANA",1,1,0,0,0
2003-03-30,"GHANA","MADAGASCAR",1,1,0,0,0
2003-05-24,"BOTSWANA","MALAWI",1,0,1,0,0
2003-07-09,"NEW CALEDONIA","VANUATU",1,1,0,0,0
2003-08-16,"MALAWI","ZAMBIA",1,1,0,0,0
2003-09-24,"ALGERIA","GABON",1,1,0,0,0
2003-09-26,"ALGERIA","BURKINA FASO",1,1,0,0,0
2003-12-08,"KENYA","RWANDA",1,0,1,0,0
2003-12-08,"SUDAN","UGANDA",1,0,1,0,0
2004-02-11,"TUNISIA","NIGERIA",1,1,0,1,0
2004-02-19,"KAZAKHSTAN","ARMENIA",1,1,0,0,0
2004-02-28,"LESOTHO","BOTSWANA",1,0,1,0,0
2004-06-23,"JORDAN","SYRIA",1,0,1,0,0
2004-06-24,"PORTUGAL","ENGLAND",1,1,0,0,1
2004-06-26,"SWEDEN","NETHERLANDS",1,0,1,1,0
2004-07-18,"ANGOLA","BOTSWANA",1,1,0,0,0
2004-07-21,"URUGUAY","BRAZIL",1,0,1,0,1
