"country","fifa_version","num_players","overall_strength","max_overall","attack_strength","defense_strength","avg_pace","avg_shooting","avg_passing","avg_dribbling","avg_defending","avg_physic","balance","depth","quality_per_player"
"BENIN",15,14,64.5,77,63.7142857142857,65.2857142857143,67.6923076923077,52.9230769230769,55.3846153846154,61.3076923076923,49.1538461538462,70.6153846153846,-1.57142857142858,12.5,4.60714285714286
"BENIN",16,14,67,77,67.1666666666667,66.875,66.5,56.5,57.3333333333333,62,51.3333333333333,70.5833333333333,0.291666666666671,10,4.78571428571429
"BENIN",17,14,67.2142857142857,74,68.75,66.8888888888889,67.5,53,55.9166666666667,60.5,52.75,71.6666666666667,1.86111111111111,6.78571428571429,4.80102040816327
"BENIN",18,14,68,76,69.3333333333333,67,66,54.1666666666667,54.5,59.1666666666667,51.25,73.1666666666667,2.33333333333333,8,4.85714285714286
"BENIN",19,13,67.6923076923077,76,67.25,67.8888888888889,63.8181818181818,49.7272727272727,54.6363636363636,57.1818181818182,54.8181818181818,73.5454545454545,-0.638888888888886,8.30769230769231,5.20710059171598
"BENIN",20,14,68,76,70,67.8571428571429,66.3333333333333,53.9166666666667,56.9166666666667,61.25,52.75,71.25,2.14285714285714,8,4.85714285714286
"BENIN",21,11,68.2727272727273,74,70.5,68,70.8888888888889,59.1111111111111,60.4444444444444,65.4444444444444,50.5555555555556,69.5555555555556,2.5,5.72727272727273,6.20661157024793
"BENIN",22,10,67.6,74,66,68.25,70.8888888888889,59.1111111111111,56.6666666666667,65.4444444444444,45.2222222222222,68.4444444444444,-2.25,6.40000000000001,6.76
"BENIN",23,14,66.6428571428571,73,66.4,66,68.6153846153846,56.9230769230769,57.7692307692308,64.3076923076923,47.9230769230769,68.2307692307692,0.400000000000006,6.35714285714286,4.76020408163265
"BENIN",24,10,67.5,73,67.75,66.5714285714286,64.8,51.2,56.5,62,58.3,74.2,1.17857142857143,5.5,6.75
"BERMUDA",15,2,61.5,66,66,57,90,68,54,68,33,59,9,4.5,30.75
"BERMUDA",16,4,59.25,67,60,57,76.6666666666667,58.3333333333333,52,63,34.3333333333333,55.3333333333333,3,7.75,14.8125
"BERMUDA",17,5,60.2,71,62.6666666666667,60.2,75.8,54,51.8,62,37.2,63.2,2.46666666666666,10.8,12.04
"BERMUDA",18,4,63.25,72,65,58,83,60,56.3333333333333,67.3333333333333,35.6666666666667,58.6666666666667,7,8.75,15.8125
"BERMUDA",19,2,66.5,70,66.5,66.5,79.5,63,59,68,45,64,0,3.5,33.25
"BERMUDA",20,3,63.6666666666667,70,70,59,69,49.6666666666667,52,56.3333333333333,48,66.6666666666667,11,6.33333333333334,21.2222222222222
"BERMUDA",21,1,72,72,72,72,75,72,63,71,44,63,0,0,72
"BERMUDA",22,1,70,70,70,70,74,70,63,70,44,62,0,0,70
"BERMUDA",23,1,68,68,68,68,73,68,63,69,43,61,0,0,68
"BERMUDA",24,1,69,69,69,69,77,68,64,69,44,62,0,0,69
"BHUTAN",22,1,63,63,63,63,83,60,55,64,36,58,0,0,63
"BOLIVIA",15,14,66,71,67.7142857142857,64.875,65.4615384615385,53.3076923076923,54.1538461538462,61.3076923076923,49.2307692307692,59.6153846153846,2.83928571428571,5,4.71428571428571
